ax,ay,az,label
-10.15394,-5.45085,-1.0337,3
-12.45464,-2.595016,-1.043271,3
-3.911069,-7.817351,-0.240479,3
2.860619,-10.5691,1.713261,3
-1.847259,-7.819745,-2.057827,3
-10.44826,-1.185644,1.698904,3
-6.369694,-11.98685,0.215354,3
5.437689,-18.56591,-1.320838,3
3.227918,-11.3695,1.710868,3
-10.17548,-8.575877,0.415155,3
-13.1342,-4.364508,-1.202393,3
-0.594616,-10.58704,1.393819,3
8.475378,-13.45963,4.272385,3
-4.95075,-6.89133,0.535992,3
-9.552149,-3.522235,0.552742,3
-3.468396,-13.75394,1.964507,3
5.673382,-17.72124,-0.581456,3
3.214757,-12.78605,1.971686,3
-8.896515,-9.223135,1.799403,3
-10.35973,-6.805188,1.631905,3
-0.405583,-10.79163,0.696311,3
8.270791,-12.04427,1.544567,3
0.793221,-7.59123,1.554138,3
-9.341579,-3.117848,-0.56351,3
-4.156333,-12.08615,-0.082552,3
4.693522,-17.78824,0.245264,3
-3.305685,-10.75215,-3.129812,3
-7.619944,-4.435097,1.828116,3
-11.3336,-5.050053,1.825724,3
-1.089931,-10.83829,-0.357727,3
4.481757,-10.83829,4.065406,3
1.615155,-9.827323,-0.882952,3
-5.581259,-4.899304,1.747957,3
-1.745564,-12.60419,4.016353,3
7.482357,-21.21118,-1.801795,3
-0.624527,-13.34358,0.08016,3
-11.53699,-5.134997,-0.794417,3
-10.23889,-1.659423,-0.300299,3
-4.161119,-9.535398,1.095913,3
5.989235,-11.12663,-0.710668,3
2.254039,-11.11945,0.795614,3
-10.0678,-3.64068,2.155933,3
-2.338984,-10.61456,4.762914,3
7.719245,-20.61297,0.362513,3
2.76371,-16.12762,-3.108277,3
-7.889136,-6.628119,2.411965,3
-11.49991,-2.305485,-0.65683,3
-3.317649,-9.424131,-0.472582,3
10.22573,-14.10449,1.387837,3
